"Plot Title: 9859131"
"#","Date","Time, GMT-07:00","Temp, °C (LGR S/N: 9859131)","Coupler Detached (LGR S/N: 9859131)","Coupler Attached (LGR S/N: 9859131)","Host Connected (LGR S/N: 9859131)","Stopped (LGR S/N: 9859131)","End Of File (LGR S/N: 9859131)"
1,06/18/2013,12:00:00,20.412,Logged,,,,
2,06/18/2013,12:15:00,20.555,,,,,
3,06/18/2013,12:30:00,20.603,,,,,
4,06/18/2013,12:45:00,20.555,,,,,
5,06/18/2013,13:00:00,20.412,,,,,
6,06/18/2013,13:15:00,20.341,,,,,
7,06/18/2013,13:30:00,20.103,,,,,
8,06/18/2013,13:45:00,20.650,,,,,
9,06/18/2013,14:00:00,22.633,,,,,
10,06/18/2013,14:15:00,25.089,,,,,
11,06/18/2013,14:30:00,27.358,,,,,
12,06/18/2013,14:45:00,27.924,,,,,
13,06/18/2013,15:00:00,27.850,,,,,
14,06/18/2013,15:15:00,27.899,,,,,
15,06/18/2013,15:30:00,28.419,,,,,
16,06/18/2013,15:45:00,29.540,,,,,
17,06/18/2013,16:00:00,30.748,,,,,
18,06/18/2013,16:15:00,31.996,,,,,
19,06/18/2013,16:30:00,33.261,,,,,
20,06/18/2013,16:45:00,34.466,,,,,
21,06/18/2013,17:00:00,35.448,,,,,
22,06/18/2013,17:15:00,36.146,,,,,
23,06/18/2013,17:30:00,36.824,,,,,
24,06/18/2013,17:45:00,37.508,,,,,
25,06/18/2013,18:00:00,38.115,,,,,
26,06/18/2013,18:15:00,38.560,,,,,
27,06/18/2013,18:30:00,38.616,,,,,
28,06/18/2013,18:45:00,38.060,,,,,
29,06/18/2013,19:00:00,37.042,,,,,
30,06/18/2013,19:15:00,35.850,,,,,
31,06/18/2013,19:30:00,34.677,,,,,
32,06/18/2013,19:45:00,33.600,,,,,
33,06/18/2013,20:00:00,32.639,,,,,
34,06/18/2013,20:15:00,31.765,,,,,
35,06/18/2013,20:30:00,30.925,,,,,
36,06/18/2013,20:45:00,30.066,,,,,
37,06/18/2013,21:00:00,29.240,,,,,
38,06/18/2013,21:15:00,28.419,,,,,
39,06/18/2013,21:30:00,27.677,,,,,
40,06/18/2013,21:45:00,27.038,,,,,
41,06/18/2013,22:00:00,26.475,,,,,
42,06/18/2013,22:15:00,25.914,,,,,
43,06/18/2013,22:30:00,25.355,,,,,
44,06/18/2013,22:45:00,24.798,,,,,
45,06/18/2013,23:00:00,24.291,,,,,
46,06/18/2013,23:15:00,23.809,,,,,
47,06/18/2013,23:30:00,23.376,,,,,
48,06/18/2013,23:45:00,22.944,,,,,
49,06/19/2013,00:00:00,22.537,,,,,
50,06/19/2013,00:15:00,22.154,,,,,
51,06/19/2013,00:30:00,21.748,,,,,
52,06/19/2013,00:45:00,21.366,,,,,
53,06/19/2013,01:00:00,20.984,,,,,
54,06/19/2013,01:15:00,20.627,,,,,
55,06/19/2013,01:30:00,20.269,,,,,
56,06/19/2013,01:45:00,19.936,,,,,
57,06/19/2013,02:00:00,19.603,,,,,
58,06/19/2013,02:15:00,19.294,,,,,
59,06/19/2013,02:30:00,18.985,,,,,
60,06/19/2013,02:45:00,18.699,,,,,
61,06/19/2013,03:00:00,18.390,,,,,
62,06/19/2013,03:15:00,18.105,,,,,
63,06/19/2013,03:30:00,17.796,,,,,
64,06/19/2013,03:45:00,17.510,,,,,
65,06/19/2013,04:00:00,17.225,,,,,
66,06/19/2013,04:15:00,16.963,,,,,
67,06/19/2013,04:30:00,16.677,,,,,
68,06/19/2013,04:45:00,16.415,,,,,
69,06/19/2013,05:00:00,16.153,,,,,
70,06/19/2013,05:15:00,15.915,,,,,
71,06/19/2013,05:30:00,15.652,,,,,
72,06/19/2013,05:45:00,15.414,,,,,
73,06/19/2013,06:00:00,15.175,,,,,
74,06/19/2013,06:15:00,14.936,,,,,
75,06/19/2013,06:30:00,14.721,,,,,
76,06/19/2013,06:45:00,14.529,,,,,
77,06/19/2013,07:00:00,14.337,,,,,
78,06/19/2013,07:15:00,14.194,,,,,
79,06/19/2013,07:30:00,14.074,,,,,
80,06/19/2013,07:45:00,13.978,,,,,
81,06/19/2013,08:00:00,13.906,,,,,
82,06/19/2013,08:15:00,13.858,,,,,
83,06/19/2013,08:30:00,13.930,,,,,
84,06/19/2013,08:45:00,13.570,,,,,
85,06/19/2013,09:00:00,13.570,,,,,
86,06/19/2013,09:15:00,13.618,,,,,
87,06/19/2013,09:30:00,13.666,,,,,
88,06/19/2013,09:45:00,13.762,,,,,
89,06/19/2013,10:00:00,13.930,,,,,
90,06/19/2013,10:15:00,14.098,,,,,
91,06/19/2013,10:30:00,14.170,,,,,
92,06/19/2013,10:45:00,14.361,,,,,
93,06/19/2013,11:00:00,14.577,,,,,
94,06/19/2013,11:15:00,14.721,,,,,
95,06/19/2013,11:30:00,14.912,,,,,
96,06/19/2013,11:45:00,15.103,,,,,
97,06/19/2013,12:00:00,15.318,,,,,
98,06/19/2013,12:15:00,15.557,,,,,
99,06/19/2013,12:30:00,15.843,,,,,
100,06/19/2013,12:45:00,16.010,,,,,
101,06/19/2013,13:00:00,16.344,,,,,
102,06/19/2013,13:15:00,16.511,,,,,
103,06/19/2013,13:30:00,16.749,,,,,
104,06/19/2013,13:45:00,17.106,,,,,
105,06/19/2013,14:00:00,17.177,,,,,
106,06/19/2013,14:15:00,17.344,,,,,
107,06/19/2013,14:30:00,17.677,,,,,
108,06/19/2013,14:45:00,17.819,,,,,
109,06/19/2013,15:00:00,17.938,,,,,
110,06/19/2013,15:15:00,18.081,,,,,
111,06/19/2013,15:30:00,18.200,,,,,
112,06/19/2013,15:45:00,18.343,,,,,
113,06/19/2013,16:00:00,18.485,,,,,
114,06/19/2013,16:15:00,18.557,,,,,
115,06/19/2013,16:30:00,18.628,,,,,
116,06/19/2013,16:45:00,18.699,,,,,
117,06/19/2013,17:00:00,18.747,,,,,
118,06/19/2013,17:15:00,18.794,,,,,
119,06/19/2013,17:30:00,18.794,,,,,
120,06/19/2013,17:45:00,18.794,,,,,
121,06/19/2013,18:00:00,18.771,,,,,
122,06/19/2013,18:15:00,18.771,,,,,
123,06/19/2013,18:30:00,18.699,,,,,
124,06/19/2013,18:45:00,18.628,,,,,
125,06/19/2013,19:00:00,18.604,,,,,
126,06/19/2013,19:15:00,18.580,,,,,
127,06/19/2013,19:30:00,18.557,,,,,
128,06/19/2013,19:45:00,18.533,,,,,
129,06/19/2013,20:00:00,18.533,,,,,
130,06/19/2013,20:15:00,18.509,,,,,
131,06/19/2013,20:30:00,18.509,,,,,
132,06/19/2013,20:45:00,18.533,,,,,
133,06/19/2013,21:00:00,18.533,,,,,
134,06/19/2013,21:15:00,18.533,,,,,
135,06/19/2013,21:30:00,18.509,,,,,
136,06/19/2013,21:45:00,18.485,,,,,
137,06/19/2013,22:00:00,18.438,,,,,
138,06/19/2013,22:15:00,18.390,,,,,
139,06/19/2013,22:30:00,18.319,,,,,
140,06/19/2013,22:45:00,18.247,,,,,
141,06/19/2013,23:00:00,18.200,,,,,
142,06/19/2013,23:15:00,18.129,,,,,
143,06/19/2013,23:30:00,18.081,,,,,
144,06/19/2013,23:45:00,18.010,,,,,
145,06/20/2013,00:00:00,17.938,,,,,
146,06/20/2013,00:15:00,17.891,,,,,
147,06/20/2013,00:30:00,17.819,,,,,
148,06/20/2013,00:45:00,17.772,,,,,
149,06/20/2013,01:00:00,17.701,,,,,
150,06/20/2013,01:15:00,17.653,,,,,
151,06/20/2013,01:30:00,17.582,,,,,
152,06/20/2013,01:45:00,17.534,,,,,
153,06/20/2013,02:00:00,17.463,,,,,
154,06/20/2013,02:15:00,17.391,,,,,
155,06/20/2013,02:30:00,17.344,,,,,
156,06/20/2013,02:45:00,17.249,,,,,
157,06/20/2013,03:00:00,17.177,,,,,
158,06/20/2013,03:15:00,17.106,,,,,
159,06/20/2013,03:30:00,17.034,,,,,
160,06/20/2013,03:45:00,16.939,,,,,
161,06/20/2013,04:00:00,16.844,,,,,
162,06/20/2013,04:15:00,16.749,,,,,
163,06/20/2013,04:30:00,16.654,,,,,
164,06/20/2013,04:45:00,16.582,,,,,
